original,second_part,noun_forms,lemma,genus,compound_forms,sim_words,wup_sim_words,related_words,hypernyms,definition,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,similar_words
Klimaargument,Argument,"['Arguments', 'Argumenten', 'Argument', 'Argumente', 'Argumentes']",Argument,n,"['Klimaarguments', 'Klimaargumenten', 'Klimaargument', 'Klimaargumente', 'Klimaargumentes']",[],"['apostel', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Grund', 'Beleg', 'Beweis', 'Begründung', 'Prämisse', 'Beweisgrund', 'Argument']",,['ein rationaler Beweggrund für eine Überzeugung oder eine Handlung'],argum,argument,argu,argument,,,,,[]
Klimaarmageddon,Armageddon,"['Armageddon', 'Armageddons']",Armageddon,n,"['Klimaarmageddon', 'Klimaarmageddons']","['apokalypse', 'untergang']","['apokalypse', 'untergang']","['Ende', 'Apokalypse', 'Verderben', 'Unglück', 'Untergang', 'Abaddon', 'Zusammenbruch', 'Armageddon', 'Waterloo', 'Super-GAU', 'Abgrund']","['Offenbarung', 'Erscheinung', 'Phantom', 'Hirngespinst', 'Einbildung', 'Sinnestäuschung', 'Trugbild', 'Selbsttäuschung', 'Täuschung', 'Wahnvorstellung', 'Halluzination', 'Gesicht', 'Fata Morgana', 'Butterland', 'Illusion', 'Vision', 'Wahnbild', 'Hallu', 'Geisterbild', 'reizunabhängige Sinneswahrnehmung']","['Visionäre Beschreibung eines Zustandes, in dem die Welt nicht weiter besteht.', 'eine Handlung, die katastrophale Folgen hat', 'jede katastrophal zerstörerische Schlacht']",armageddo,armageddon,armageddon,armageddon,,,,,"['apokalypse', 'untergang']"
Klimaasyl,Asyl,"['Asyls', 'Asyle', 'Asyl', 'Asylen']",Asyl,n,"['Klimaasyls', 'Klimaasyle', 'Klimaasyl', 'Klimaasylen']",[],"['apostel', 'argument', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Zufluchtsort', 'Asyl', 'Zuflucht', 'Schutzort', 'Zufluchtsstätte', 'Fluchtpunkt']",,"['ein sicherer Ort', 'ein Studentenwohnheim']",asyl,asyl,asyl,asyl,,,,,[]
Klimaaufschrei,Aufschrei,"['Aufschreien', 'Aufschreis', 'Aufschrei', 'Aufschreie', 'Aufschreies']",Aufschrei,m,"['Klimaaufschreien', 'Klimaaufschreis', 'Klimaaufschrei', 'Klimaaufschreie', 'Klimaaufschreies']",[],[],,,[],aufschrei,aufschrei,aufschre,aufschrei,,,,,[]
Klimaaufstand,Aufstand,"['Aufstand', 'Aufstande', 'Aufstände', 'Aufstands', 'Aufständen', 'Aufstandes']",Aufstand,m,"['Klimaaufstand', 'Klimaaufstande', 'Klimaaufstände', 'Klimaaufstands', 'Klimaaufständen', 'Klimaaufstandes']",[],[],"['Proteste', 'Krawall', 'bürgerkriegsähnliche Zustände', 'Massenproteste', 'Protestaktionen', 'Massenunruhen', 'Aufstand', 'Massenaufstand', 'Ausschreitung', 'Tumult', 'Unruhe', 'Aufstand der Massen', 'Aufruhr']","['Aufstand', 'Aufruhr', 'Rebellion', 'Aufwiegelung', 'Meuterei', 'Revolte']","['Unruhen, meist aus Protest', 'ein wütender Streit', 'gekennzeichnet durch Nervosität und schnelles Erschrecken', 'das Fehlen einer vorhersehbaren Ordnung oder eines Plans']",aufsta,aufstand,aufstand,aufstand,,,,,[]
Klimabankrott,Bankrott,"['Bankrotte', 'Bankrott', 'Bankrotten', 'Bankrotts', 'Bankrottes']",Bankrott,m,"['Klimabankrotte', 'Klimabankrott', 'Klimabankrotten', 'Klimabankrotts', 'Klimabankrottes']",[],"['apostel', 'argument', 'asyl', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Pleite', 'Insolvenz', 'Zahlungseinstellung', 'Konkursfall', 'Ruin', 'Illiquidität', 'Konkurs', 'Zahlungsunfähigkeit', 'Bankrottfall', 'Bankrott']",,"['Unfähigkeit, alle Ihre Schulden bei Fälligkeit zu begleichen']",bankrott,bankrott,bankrot,bankrott,,,,,[]
Klimabeeinflussung,Beeinflussung,"['Beeinflussungen', 'Beeinflussung']",Beeinflussung,f,"['Klimabeeinflussungen', 'Klimabeeinflussung']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Ergebnis', 'Ausgang', 'Wirkung', 'Auswirkung', 'Effekt', 'Folgeerscheinung', 'Konsequenz', 'Ausfluss', 'Folge', 'Nachwirkung', 'Einfluss', 'Reaktion', 'Rückwirkung', 'Hervorbringung', 'Beeinflussung', 'Endergebnis', 'Fazit', 'Resultat', 'Quintessenz', 'Feststellung', 'Befund', 'Herbeiführung']",,"['Folgen, Konsequenzen einer Handlung oder Unterlassung', 'die Vermischung mit Fremdstoffen; das Produkt der Verfälschung', 'das Eintreten einer Veränderung zum Schlechteren', 'der Akt der Herbeiführung von Hypnose']",beeinflussung,beeinflussung,beeinflussung,beeinfluss,,,,,[]
Klimabefürworter,Befürworter,"['Befürwortern', 'Befürworter', 'Befürworters']",Befürworter,m,"['Klimabefürwortern', 'Klimabefürworter', 'Klimabefürworters']",[],"['freund', 'ketzer', 'protestler']","['Vertreter', 'Verfechter', 'Fürsprecher', 'Verteidiger', 'Befürworter', 'Apologet', 'Anwalt']","['jemand', 'irgendjemand', 'jeder beliebige']","['ein Kämpfer, der einem Angriff standhält']",befurwor,befürwort,befürwort,befurwort,,,,,[]
Klimabesoffenheit,Besoffenheit,['Besoffenheit'],Besoffenheit,f,['Klimabesoffenheit'],[],[],,,[],besoffenhei,besoffenheit,besoffenheit,besoff,,,,,[]
Klimabesorgnis,Besorgnis,"['Besorgnissen', 'Besorgnis', 'Besorgnisse']",Besorgnis,f,"['Klimabesorgnissen', 'Klimabesorgnis', 'Klimabesorgnisse']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Befürchtung', 'Gefühl', 'Ahnung', 'Vorahnung', 'Vorgefühl', 'Besorgnis']",,"['schmerzliche Erwartung', 'ein Gefühl der übermäßigen Sorge']",besorgni,besorgni,besorgn,besorgnis,,,,,[]
Klimabetrug,Betrug,"['Betruges', 'Betrüge', 'Betrügen', 'Betruge', 'Betrugs', 'Betrug']",Betrug,m,"['Klimabetruges', 'Klimabetrüge', 'Klimabetrügen', 'Klimabetruge', 'Klimabetrugs', 'Klimabetrug']",['verbrechen'],['verbrechen'],"['Treulosigkeit', 'Betrug', 'Ehebruch', 'Untreue', 'Fremdgehen', 'Seitensprung']","['krimineller Akt', 'Verbrechen', 'Untat', 'Delikt', 'strafbare Handlung', 'Unrechtstat', 'illegale Handlung', 'Straftat']","['der Akt der Täuschung durch eine betrügerische Handlung', 'der Akt der Täuschung', 'die Eigenschaft, betrügerisch zu sein']",betrug,betrug,betrug,betrug,"['betrug', 'betrüger']",,,"['betrug', 'betrüger']","['verbrechen', 'betrug', 'betrüger']"
Klimabetrüger,Betrüger,"['Betrüger', 'Betrügern', 'Betrügers']",Betrüger,m,"['Klimabetrüger', 'Klimabetrügern', 'Klimabetrügers']",['schwindler'],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Betrüger', 'Hochstapler', 'Schwindler', 'Windei']",,"['ein Schwindler, der das Vertrauen seines Opfers ausnutzt', 'jemand, der dir etwas vorgaukelt, was nicht wahr ist', 'eine Person, die Sie durch Täuschung oder Betrug betrügt']",betrug,betrüger,betrüg,betrug,"['betrug', 'betrüger']",,,"['betrug', 'betrüger']","['schwindler', 'betrug', 'betrüger']"
Klimabewegtheit,Bewegtheit,['Bewegtheit'],Bewegtheit,f,['Klimabewegtheit'],[],[],,,[],bewegthei,bewegtheit,bewegtheit,bewegt,,,,,[]
Klimabibel,Bibel,"['Bibel', 'Bibeln']",Bibel,f,"['Klimabibel', 'Klimabibeln']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Heilige Schrift', 'Bibel', 'Buch der Bücher', 'Wort Gottes']",,['die heiligen Schriften der christlichen Religionen'],bibel,bibel,bibel,bibel,,,,,[]
Klimabigotterie,Bigotterie,"['Bigotterien', 'Bigotterie']",Bigotterie,f,"['Klimabigotterien', 'Klimabigotterie']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Heuchelei', 'Hypokrisie', 'Verlogenheit', 'Scheinheiligkeit', 'Doppelmoral', 'Unaufrichtigkeit', 'Bigotterie', 'Doppelzüngigkeit', 'Hinterfotzigkeit', 'Pharisäertum']",,['selbstgefällige Ernsthaftigkeit'],bigotterie,bigotteri,bigottery,bigotteri,,,,,[]
Klimabluff,Bluff,"['Bluffs', 'Bluff']",Bluff,m,"['Klimabluffs', 'Klimabluff']",[],[],"['Schwindel', 'Windei', 'Aufschneiderei', 'Märchen', 'Erdichtung', 'Geflunker', 'Erfindung', 'Jägerlatein', 'Schwindelei', 'Lügengeschichte', 'Ammenmärchen', 'Münchhausiade', 'Münchhauseniade', 'Bluff', 'Flunkerei', 'Räuberpistole', 'Seemannsgarn', 'Anglerlatein']","['Wumme', 'Knarre', 'Prügel', 'Schießeisen', 'Püster', 'Ballermann', 'Colt', 'Pistole', 'Engelmacher', 'Schießprügel', 'Meuchelpuffer', 'Bleispritze', 'Schießknüppel', 'Revolver']","['eine Schöpfung (eine neue Vorrichtung oder ein neues Verfahren), die das Ergebnis von Studien und Experimenten ist', 'der Akt der Täuschung; Täuschung durch Schaffung illusorischer Vorstellungen', 'die Berührung mit den Händen (oder der geschickte Einsatz der Hände) oder durch den Einsatz mechanischer Mittel']",bluff,bluff,bluff,bluff,,,,,[]
